wcvp_accepted_name,rel_abun,n_crowns
Cupania latifolia,7.13E-04,0
Cojoba rufescens,7.00E-04,0
Casearia bicolor,6.69E-04,0
Posoqueria latifolia,6.61E-04,0
Adelia triloba,5.71E-04,0
Myrospermum frutescens,5.35E-04,0
Inga spectabilis,5.17E-04,0
Maclura tinctoria,5.13E-04,0
Trema micranthum,4.98E-04,0
Inga cocleensis,4.96E-04,0
Xylopia macrantha,4.87E-04,0
Cecropia peltata,4.80E-04,0
Persea americana,4.73E-04,0
Trophis racemosa,4.67E-04,0
Licania hypoleuca,4.46E-04,0
Eugenia nesiotica,4.39E-04,0
Damburneya purpurea,4.34E-04,0
Astrocaryum standleyanum,4.17E-04,0
Hampea appendiculata,4.13E-04,0
Ardisia copeyana,4.07E-04,0
Cupania rufescens,4.01E-04,0
Zanthoxylum acuminatum,3.60E-04,0
Terminalia tetraphylla,3.57E-04,0
Mouriri myrtilloides,3.55E-04,0
Unonopsis pittieri,3.46E-04,0
Alchornea latifolia,3.46E-04,0
Garcinia madruno,3.44E-04,0
Inga goldmanii,3.44E-04,0
Coutarea hexandra,3.38E-04,0
Casearia guianensis,3.18E-04,0
Pseudolmedia spuria,3.12E-04,0
Ficus tonduzii,3.09E-04,0
Inga punctata,3.05E-04,0
Guettarda foliacea,3.04E-04,0
Guarea bullata,2.94E-04,0
Allophylus psilospermus,2.84E-04,0
Ormosia amazonica,2.58E-04,0
Erythroxylum macrophyllum,2.51E-04,0
Siparuna pauciflora,2.47E-04,0
Randia armata,2.45E-04,0
Myrcia splendens,2.44E-04,0
Diospyros artanthifolia,2.04E-04,0
Tabernaemontana africana,2.03E-04,0
Perebea xanthochyma,2.02E-04,0
Maquira guianensis,2.01E-04,0
Garcinia intermedia,2.01E-04,0
Amaioua glomerulata,1.82E-04,0
Cedrela odorata,1.80E-04,0
Protium costaricense,1.79E-04,0
Cupania cinerea,1.71E-04,0
Miconia hondurensis,1.54E-04,0
Couratari guianensis,1.29E-04,0
Piparea dentata,1.17E-04,0
Inga pauciflora,1.12E-04,0
Crateva tapia,1.11E-04,0
Psidium friedrichsthalianum,9.13E-05,0
Vismia macrophylla,6.89E-05,0
Brosimum guianense,5.28E-05,0
Inga nobilis,4.86E-05,0
Jacaratia spinosa,4.55E-05,0
Heisteria acuminata,4.34E-05,0
