taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit,wcvp_accepted_name,taxonomic_rank,wcvp_url,source
Beilschmiedia tovarensis-BEILPE-BEIP,4182784,Beilschmiedia tovarensis,Freestanding,Beilschmiedia tovarensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1116029-2,wcvp
Bejaria,2882719,Bejaria,,Bejaria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331390-2,wcvp
Bellucia,3866386,Bellucia,,Bellucia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331391-2,wcvp
Bellucia grossularioides-BELLGR,3866649,Bellucia grossularioides,Freestanding,Bellucia grossularioides,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1157663-2,wcvp
Bernoullia,6598522,Bernoullia,,Bernoullia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:38630-1,wcvp
Bertiera,8303739,Bertiera,,Bertiera,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329744-2,wcvp
Bertiera guianensis-BERTGU-BERG,2908816,Bertiera guianensis,Freestanding,Bertiera guianensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:744444-1,wcvp
Besleria,6365035,Besleria,,Besleria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30001880-2,wcvp
Betulaceae,4688,Betulaceae,,Betulaceae,family,,wcvp
Bia,8259860,Bia,,Bia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:15095-1,wcvp
Bidens,3105856,Bidens,,Bidens,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60433909-2,wcvp
Bignonia,3172515,Bignonia,,Bignonia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331403-2,wcvp
Bignonia aequinoctialis-CYDIAE-CYDA,3172559,Bignonia aequinoctialis,Climbing,Bignonia aequinoctialis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:108550-1,wcvp
Bignonia binata-CLYTBI-CLYB,4094291,Bignonia binata,Climbing,Bignonia binata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:108602-1,wcvp
Bignonia corymbosa-PHRYCO-PHRC,6710599,Bignonia corymbosa,Climbing,Bignonia corymbosa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60474996-2,wcvp
Bignoniaceae,6655,Bignoniaceae,,Bignoniaceae,family,,wcvp
Billia,7323128,Billia,,Billia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331405-2,wcvp
Bixa,2874862,Bixa,,Bixa,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:4306-1,wcvp
Bixa orellana-BIXAOR,2874863,Bixa orellana,Freestanding,Bixa orellana,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:33335-2,wcvp
Bixa urucurana-BIXAUR,4087112,Bixa urucurana,Freestanding,Bixa urucurana,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:111504-1,wcvp
Bixaceae,6637,Bixaceae,,Bixaceae,family,,wcvp
Blakea,3231475,Blakea,,Blakea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30008867-2,wcvp
Blakea parasitica-TOPOPA-TOPP,5600218,Blakea parasitica,Climbing,Blakea parasitica,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:566733-1,wcvp
Blepharodon,7312650,Blepharodon,,Blepharodon,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3236-1,wcvp
Blighia,3189954,Blighia,,Blighia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:36302-1,wcvp
Bocconia,2888373,Bocconia,,Bocconia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31619-1,wcvp
Boehmeria,2984344,Boehmeria,,Boehmeria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327224-2,wcvp
Bonamia,9766793,Bonamia,,Bonamia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331413-2,wcvp
Bonamia trichantha-BONATR-BONT,7324476,Bonamia trichantha,Climbing,Bonamia trichantha,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:34723-2,wcvp
Bonellia,8100196,Bonellia,,Bonellia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331090-2,wcvp
Bonellia macrocarpa-JACQMA,7151936,Bonellia macrocarpa,Freestanding,Bonellia macrocarpa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60430438-2,wcvp
Boraginaceae,2498,Boraginaceae,,Boraginaceae,family,,wcvp
Bourreria,2926097,Bourreria,,Bourreria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331419-2,wcvp
Brachistus,7299796,Brachistus,,Brachistus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:38298-1,wcvp
Bravaisia,7264177,Bravaisia,,Bravaisia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:430-1,wcvp
Bribria,10977818,Bribria,,Bribria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77201818-1,wcvp
Bribria crenata-RINOCR,11081627,Bribria crenata,Freestanding,Bribria crenata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77201820-1,wcvp
Bronwenia,7285159,Bronwenia,,Bronwenia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60447681-2,wcvp
Bronwenia wurdackii-BANIWU,3984163,Bronwenia wurdackii,Climbing,Bronwenia wurdackii,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60447695-2,wcvp
Brosimum,2984656,Brosimum,,Brosimum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331427-2,wcvp
Brosimum alicastrum-BROSAL-BROA,2984660,Brosimum alicastrum,Freestanding,Brosimum alicastrum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:850824-1,wcvp
Brownea,2970433,Brownea,,Brownea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331429-2,wcvp
