taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit,wcvp_accepted_name,taxonomic_rank,wcvp_url,source
Cordiera,2903362,Cordiera,,Cordiera,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30011006-2,wcvp
Cornaceae,6713,Cornaceae,,Cornaceae,family,,wcvp
Cornus,3082226,Cornus,,Cornus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330228-2,wcvp
Cornutia,2925661,Cornutia,,Cornutia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:41239-1,wcvp
Corymbia,3180424,Corymbia,,Corymbia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:986238-1,wcvp
Corypha,2733599,Corypha,,Corypha,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328318-2,wcvp
Cosmibuena,2892977,Cosmibuena,,Cosmibuena,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331521-2,wcvp
Cosmibuena grandiflora-COSMGR-COSS,5334638,Cosmibuena grandiflora,Freestanding,Cosmibuena grandiflora,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:66725-2,wcvp
Cosmibuena macrocarpa-COSMMA,5334661,Cosmibuena macrocarpa,Freestanding,Cosmibuena macrocarpa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:747618-1,wcvp
Couepia,2984768,Couepia,,Couepia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:33735-1,wcvp
Coulaceae,4928321,Coulaceae,,Cornaceae,family,,wcvp
Couma,7316606,Couma,,Couma,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2277-1,wcvp
Couratari,3083098,Couratari,,Couratari,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:27498-1,wcvp
Couratari guianensis-COURPA-COUP,3083111,Couratari guianensis,Freestanding,Couratari guianensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:592371-1,wcvp
Couroupita,3082553,Couroupita,,Couroupita,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:27499-1,wcvp
Coussarea,2904739,Coussarea,,Coussarea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:34412-1,wcvp
Coussarea loftonii-COU2LO,2904779,Coussarea loftonii,Freestanding,Coussarea loftonii,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:67435-2,wcvp
Coussarea suaveolens-COU2CU-COUC,12185704,Coussarea suaveolens,Freestanding,Coussarea suaveolens,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211683-1,wcvp
Coutarea,2893702,Coutarea,,Coutarea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:34414-1,wcvp
Coutarea hexandra-COUTHE-COUH,2893703,Coutarea hexandra,Freestanding,Coutarea hexandra,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:67491-2,wcvp
Crateva,3054261,Crateva,,Crateva,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30008275-2,wcvp
Crateva tapia-CRATTA,3054262,Crateva tapia,Freestanding,Crateva tapia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316363-2,wcvp
Cremastosperma,3154020,Cremastosperma,,Cremastosperma,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296979-2,wcvp
Crescentia,3172552,Crescentia,,Crescentia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:4036-1,wcvp
Critonia,3088655,Critonia,,Critonia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:8440-1,wcvp
Critonia billbergiana-CRITBI,5385754,Critonia billbergiana,Climbing,Critonia billbergiana,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69540-2,wcvp
Crossopetalum,3169149,Crossopetalum,,Crossopetalum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000477-2,wcvp
Croton,3057454,Croton,,Croton,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327708-2,wcvp
Croton billbergianus-CROTBI-CROB,3059312,Croton billbergianus,Freestanding,Croton billbergianus,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:342149-1,wcvp
Crudia,2974579,Crudia,,Crudia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327294-2,wcvp
Cryosophila,2731923,Cryosophila,,Cryosophila,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31186-1,wcvp
Cryosophila warscewiczii-CRYOWA-CRYW,2731949,Cryosophila warscewiczii,Freestanding,Cryosophila warscewiczii,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71214-2,wcvp
Cryptocarya,3011993,Cryptocarya,,Cryptocarya,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330812-2,wcvp
Cryptostegia,3170470,Cryptostegia,,Cryptostegia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3293-1,wcvp
Cuatresia,7299697,Cuatresia,,Cuatresia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298245-2,wcvp
Cucumis,2874568,Cucumis,,Cucumis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30023062-2,wcvp
Cucumis melo-CUC1ME,2874570,Cucumis melo,Climbing,Cucumis melo,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:292238-1,wcvp
Cucurbita,2874506,Cucurbita,,Cucurbita,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:13252-1,wcvp
Cucurbitaceae,6634,Cucurbitaceae,,Cucurbitaceae,family,,wcvp
Cuervea,7265630,Cuervea,,Cuervea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:6547-1,wcvp
Cuervea kappleriana-CUERKA-CUEK,3792999,Cuervea kappleriana,Climbing,Cuervea kappleriana,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:72123-2,wcvp
Cunoniaceae,2405,Cunoniaceae,,Cunoniaceae,family,,wcvp
Cupania,3189959,Cupania,,Cupania,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:36347-1,wcvp
Cupania americana,3189961,Cupania americana,Freestanding,Cupania americana,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319175-2,wcvp
Cupania cinerea-CUPACI-CUPC,3785984,Cupania cinerea,Freestanding,Cupania cinerea,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:782382-1,wcvp
Cupania latifolia-CUPALA-CUPL,3785309,Cupania latifolia,Freestanding,Cupania latifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:782465-1,wcvp
Cupania rufescens-CUPARU-CUPR,3784726,Cupania rufescens,Freestanding,Cupania rufescens,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:782543-1,wcvp
Cupania seemannii-CUPASY-CUPS,7264754,Cupania seemannii,Freestanding,Cupania seemannii,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:782558-1,wcvp
Curarea,7268729,Curarea,,Curarea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295947-2,wcvp
Curatella,7304062,Curatella,,Curatella,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:14191-1,wcvp
Cuscuta,2927479,Cuscuta,,Cuscuta,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30005574-2,wcvp
Cuspidaria,3233545,Cuspidaria,,Cuspidaria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331532-2,wcvp
Cyathea,2650273,Cyathea,,Cyathea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327998-2,wcvp
Cyathea petiolata-CNEMPE-CNEP,3598477,Cyathea petiolata,Freestanding,Cyathea petiolata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:73330-2,wcvp
Cyatheaceae,6624,Cyatheaceae,,Cyatheaceae,family,,wcvp
Cybianthus,3169407,Cybianthus,,Cybianthus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331536-2,wcvp
Cyclanthera,2874528,Cyclanthera,,Cyclanthera,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000878-2,wcvp
Cymbopetalum,3157828,Cymbopetalum,,Cymbopetalum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2001-1,wcvp
Cymbosema,7580269,Cymbosema,,Cymbosema,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22175-1,wcvp
Cymbosema roseum-CYMBRO-CYMR,2944792,Cymbosema roseum,Climbing,Cymbosema roseum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320097-2,wcvp
Cynanchum,3170354,Cynanchum,,Cynanchum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30401855-2,wcvp
Cynanchum peraffine-CYNACU-CYNC,3170388,Cynanchum peraffine,Climbing,Cynanchum peraffine,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:310022-2,wcvp
Cynometra,2966806,Cynometra,,Cynometra,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22178-1,wcvp
Cynometra bauhiniifolia-CYNOBA-CYNB,2966847,Cynometra bauhiniifolia,Freestanding,Cynometra bauhiniifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:489367-1,wcvp
Cynophalla,6370797,Cynophalla,,Morisonia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5976-1,wcvp
Cyrilla,2883102,Cyrilla,,Cyrilla,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:16980-1,wcvp
Cyrillaceae,6706,Cyrillaceae,,Cyrillaceae,family,,wcvp
Cyrtostachys,2735417,Cyrtostachys,,Cyrtostachys,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31195-1,wcvp
Dahlstedtia,2960229,Dahlstedtia,,Dahlstedtia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:297723-2,wcvp
Dalbergia,2968358,Dalbergia,,Dalbergia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331542-2,wcvp
Dalbergia ecastaphyllum-DALBEC,2968593,Dalbergia ecastaphyllum,Freestanding,Dalbergia ecastaphyllum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:75934-2,wcvp
Dalbergia monetaria-DALBMO-DALM,8743558,Dalbergia ovalis,Freestanding,Dalbergia monetaria,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:490342-1,wcvp
Dalbergia retusa-DALBRE-DALR,2968539,Dalbergia retusa,Freestanding,Dalbergia retusa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:490428-1,wcvp
Dalechampia,3055556,Dalechampia,,Dalechampia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327690-2,wcvp
Dalechampia cissifolia-DALECI-DALC,3055812,Dalechampia cissifolia,Climbing,Dalechampia cissifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:344031-1,wcvp
Dalechampia dioscoreifolia-DALEDI-DALD,3055843,Dalechampia dioscoreifolia,Climbing,Dalechampia dioscoreifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314158-2,wcvp
Dalechampia tiliifolia-DALETI,3055740,Dalechampia tiliifolia,Climbing,Dalechampia tiliifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:344174-1,wcvp
Damburneya,7304488,Damburneya,,Damburneya,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21387-1,wcvp
Damburneya martinicensis-NECTMA,9508023,Damburneya martinicensis,Freestanding,Damburneya martinicensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77158859-1,wcvp
Damburneya purpurea-NECTPU-NECP,9503920,Damburneya purpurea,Freestanding,Damburneya purpurea,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77158867-1,wcvp
Damburneya umbrosa-NECTUM-NECU,9607650,Damburneya umbrosa,Freestanding,Damburneya umbrosa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77158872-1,wcvp
Daphnopsis,3188467,Daphnopsis,,Daphnopsis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30016940-2,wcvp
Davilla,3234608,Davilla,,Davilla,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328430-2,wcvp
Davilla kunthii-DAVIKU,5681074,Davilla kunthii,Climbing,Davilla kunthii,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316577-1,wcvp
Davilla nitida-DAVINI-DAVN,5680944,Davilla nitida,Climbing,Davilla nitida,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77025-2,wcvp
Delonix,2956165,Delonix,,Delonix,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30339041-2,wcvp
Dendrobangia,7314371,Dendrobangia,,Dendrobangia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296720-2,wcvp
Dendropanax,3034954,Dendropanax,,Dendropanax,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30033431-2,wcvp
Dendropanax arboreus-DENDAR-DENA,3035093,Dendropanax arboreus,Freestanding,Dendropanax arboreus,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1133937-2,wcvp
Deppea,2904961,Deppea,,Deppea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328103-2,wcvp
Desmoncus,2738753,Desmoncus,,Desmoncus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31206-1,wcvp
Desmoncus myriacanthos-DES1OR-DESI,2738781,Desmoncus myriacanthos,Climbing,Desmoncus myriacanthos,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:666634-1,wcvp
Desmopsis,3158103,Desmopsis,,Desmopsis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2006-1,wcvp
Desmopsis panamensis-DES2PA-DESP,3158129,Desmopsis panamensis,Freestanding,Desmopsis panamensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:78729-2,wcvp
Dialium,2970932,Dialium,,Dialium,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22238-1,wcvp
Dialium guianense-DIALGU-DIAG,2971008,Dialium guianense,Freestanding,Dialium guianense,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:78900-2,wcvp
Dichapetalaceae,3231311,Dichapetalaceae,,Dichapetalaceae,family,,wcvp
Dichapetalum,7309866,Dichapetalum,,Dichapetalum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327090-2,wcvp
Dicraspidia,3152033,Dicraspidia,,Dicraspidia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296743-2,wcvp
Dictyocaryum,2731987,Dictyocaryum,,Dictyocaryum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31208-1,wcvp
Didonica,7328716,Didonica,,Didonica,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298436-2,wcvp
Didymopanax,6419087,Didymopanax,,Didymopanax,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2997-1,wcvp
Didymopanax morototoni-SCH2MO-SCHM,3038523,Didymopanax morototoni,Freestanding,Didymopanax morototoni,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90355-1,wcvp
Dilkea,7313332,Dilkea,,Dilkea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31752-1,wcvp
Dillenia,3083492,Dillenia,,Dillenia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:14198-1,wcvp
Dilleniaceae,2511,Dilleniaceae,,Dilleniaceae,family,,wcvp
Dilodendron,7265074,Dilodendron,,Dilodendron,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:36368-1,wcvp
Dioclea,2974376,Dioclea,,Dioclea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30004459-2,wcvp
Dioclea guianensis-DIOCGU-DIOG,5359611,Dioclea guianensis,Climbing,Dioclea guianensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492636-1,wcvp
Dioscorea,2754367,Dioscorea,,Dioscorea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328349-2,wcvp
Dioscorea alata-DIO1AL-DIO1,2754476,Dioscorea alata,Climbing,Dioscorea alata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:317625-1,wcvp
Dioscorea haenkeana-DIO1HA-DIOH,2754761,Dioscorea haenkeana,Climbing,Dioscorea haenkeana,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324021-2,wcvp
Dioscorea hondurensis-DIO1HO,2755391,Dioscorea hondurensis,Climbing,Dioscorea hondurensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:80862-2,wcvp
Dioscorea mexicana-DIO1ME,2754517,Dioscorea mexicana,Climbing,Dioscorea mexicana,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:318262-1,wcvp
Dioscorea polygonoides-DIO1PO-DIOP,2754948,Dioscorea polygonoides,Climbing,Dioscorea polygonoides,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:323921-2,wcvp
Dioscorea trifida-DIO1TR,2755239,Dioscorea trifida,Climbing,Dioscorea trifida,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:323927-2,wcvp
Dioscorea urophylla-DIO1UR-DIOU,2755057,Dioscorea urophylla,Climbing,Dioscorea urophylla,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:318761-1,wcvp
Dioscoreaceae,7694,Dioscoreaceae,,Dioscoreaceae,family,,wcvp
Diospyros,3030169,Diospyros,,Diospyros,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326017-2,wcvp
Diospyros artanthifolia-DIO2AR-DIO2,7848675,Diospyros artanthifolia,Freestanding,Diospyros artanthifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:322093-1,wcvp
Dipentodontaceae,4160293,Dipentodontaceae,,Dipentodontaceae,family,,wcvp
Diphysa,2965025,Diphysa,,Diphysa,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22272-1,wcvp
Diplopterys,7284911,Diplopterys,,Diplopterys,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30028766-2,wcvp
Diplotropis,2960676,Diplotropis,,Diplotropis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22279-1,wcvp
Dipteryx,2947121,Dipteryx,,Dipteryx,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331562-2,wcvp
Dipteryx oleifera-DIPTPA-DIPP,2947126,Dipteryx oleifera,Freestanding,Dipteryx oleifera,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492770-1,wcvp
Disciphania,7268753,Disciphania,,Disciphania,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26923-1,wcvp
Disciphania ernstii-DES1ER,7268790,Disciphania ernstii,Climbing,Disciphania ernstii,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:580772-1,wcvp
Discophora,3234385,Discophora,,Discophora,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:28172-1,wcvp
Disterigma,7718378,Disterigma,,Disterigma,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30026353-2,wcvp
Distimake,7324349,Distimake,,Distimake,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:11858-1,wcvp
Ditrichanthus,9443652,Ditrichanthus,,Ditrichanthus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77150862-1,wcvp
Dodonaea,3190017,Dodonaea,,Dodonaea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329433-2,wcvp
Dolichandra,6401165,Dolichandra,,Dolichandra,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:4063-1,wcvp
Dolichandra unguis-cati-MACFUN-MACU,5830619,Dolichandra unguis-cati,Climbing,Dolichandra unguis-cati,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77100466-1,wcvp
Doliocarpus,3083497,Doliocarpus,,Doliocarpus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:14200-1,wcvp
Doliocarpus dentatus-DOLIDE-DOLD,7303933,Doliocarpus dentatus,Climbing,Doliocarpus dentatus,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:82916-2,wcvp
Doliocarpus major-DOLIMA-DOL1,3083498,Doliocarpus major,Climbing,Doliocarpus major,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30327947-2,wcvp
Doliocarpus multiflorus-DOLIMU-DOL2,4163413,Doliocarpus multiflorus,Climbing,Doliocarpus multiflorus,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:82931-2,wcvp
Doliocarpus olivaceus-DOLIOL-DOLO,7694190,Doliocarpus olivaceus,Climbing,Doliocarpus olivaceus,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316817-1,wcvp
Drimys,3153974,Drimys,,Drimys,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331575-2,wcvp
Drymonia,3233484,Drymonia,,Drymonia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30002291-2,wcvp
Drymonia serrulata-DRYMSE-DRSE,5590493,Drymonia serrulata,Climbing,Drymonia serrulata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:380742-1,wcvp
Drypetes standleyi-DRYPST-DRYS,3075619,Drypetes standleyi,Freestanding,Drypetes standleyi,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:85510-2,wcvp
Drypetes-DRYP2,3075615,Drypetes,Freestanding,Drypetes,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327615-2,wcvp
Duguetia,3157467,Duguetia,,Duguetia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331577-2,wcvp
Dussia,2968226,Dussia,,Dussia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22321-1,wcvp
Dypsis,2735778,Dypsis,,Dypsis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31225-1,wcvp
Dystovomita,7329965,Dystovomita,,Dystovomita,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7110-1,wcvp
Ebenaceae,6709,Ebenaceae,,Ebenaceae,family,,wcvp
Ecclinusa,2887353,Ecclinusa,,Ecclinusa,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30015928-2,wcvp
Echites,3169766,Echites,,Echites,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30002973-2,wcvp
Ehretia,2911338,Ehretia,,Ehretia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30012300-2,wcvp
Ehretiaceae,4923856,Ehretiaceae,,,,,
Elachyptera,3231377,Elachyptera,,Elachyptera,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298266-2,wcvp
Elaeagia,2918905,Elaeagia,,Elaeagia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30043270-2,wcvp
Elaeis,2731881,Elaeis,,Elaeis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31227-1,wcvp
Elaeis oleifera-ELAEOL-ELAO,8791596,Elaeis oleifera,Freestanding,Elaeis oleifera,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:88982-2,wcvp
Elaeocarpaceae,2435,Elaeocarpaceae,,Elaeocarpaceae,family,,wcvp
Elaeodendron,7102792,Elaeodendron,,Elaeodendron,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:6553-1,wcvp
Elaeoluma,2886342,Elaeoluma,,Elaeoluma,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298267-2,wcvp
Elvasia,7326782,Elvasia,,Elvasia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:28044-1,wcvp
Endlicheria,7304104,Endlicheria,,Endlicheria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331588-2,wcvp
Entada,2976182,Entada,,Entada,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331593-2,wcvp
Entada gigas-ENTAGI-ENTM,2976183,Entada gigas,Climbing,Entada gigas,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1078643-2,wcvp
Entada polystachya-ENTAPO-ADEP,2976206,Entada polystachya,Climbing,Entada polystachya,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1009172-2,wcvp
Enterolobium,2961142,Enterolobium,,Enterolobium,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30004353-2,wcvp
Enterolobium cyclocarpum-ENTECY-ENTC,2961150,Enterolobium cyclocarpum,Freestanding,Enterolobium cyclocarpum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1037928-2,wcvp
Erblichia,7303760,Erblichia,,Erblichia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:39580-1,wcvp
Eremosis,3141099,Eremosis,,Eremosis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30043272-2,wcvp
Ericaceae,2505,Ericaceae,,Ericaceae,family,,wcvp
Eriobotrya,3032335,Rhaphiolepis,,Rhaphiolepis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:34008-1,wcvp
Erisma,3231629,Erisma,,Erisma,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:41624-1,wcvp
Erythrina,2945830,Erythrina,,Erythrina,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30007957-2,wcvp
Erythrina costaricensis-ERY1CO-ERYC,5349770,Erythrina costaricensis,Freestanding,Erythrina costaricensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:96578-2,wcvp
Erythrina fusca-ERY1FU,5349620,Erythrina fusca,Freestanding,Erythrina fusca,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:494431-1,wcvp
Erythropalaceae,4924615,Erythropalaceae,,Erythroxylaceae,family,,wcvp
Erythrophleum,7587179,Erythrophleum,,Erythrophleum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22390-1,wcvp
Erythroxylaceae,6686,Erythroxylaceae,,Erythroxylaceae,family,,wcvp
Erythroxylum macrophyllum-ERY2MA-ERYM,7870294,Erythroxylum macrophyllum,Freestanding,Erythroxylum macrophyllum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330167-2,wcvp
Erythroxylum panamense-ERY2PA-ERYP,3694401,Erythroxylum panamense,Freestanding,Erythroxylum panamense,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330183-2,wcvp
Erythroxylum-ERY22,2873937,Erythroxylum,Freestanding,Erythroxylum,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:24933-1,wcvp
Escallonia,2986228,Escallonia,,Escallonia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:37033-1,wcvp
Escalloniaceae,3234486,Escalloniaceae,,Escalloniaceae,family,,wcvp
Eschweilera,3083183,Eschweilera,,Eschweilera,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326987-2,wcvp
