wcvp_accepted_name,rel_abun,cusum_rel_abun,n_crowns,f1
Ormosia macrocalyx,0.00110796,0.969320186,0,NA
Symphonia globulifera,0.001068375,0.970388561,1,0
Coccoloba coronata,0.001066474,0.971455035,0,NA
Miconia argentea,0.001061634,0.972516669,5,0.5911949685534591
Cordia lasiocalyx,0.001020926,0.973537595,0,NA
Swartzia simplex,9.47e-4,0.974484367,0,NA
Pouteria fossicola,9.45e-4,0.975429427,0,NA
Ormosia coccinea,9.42e-4,0.976371213,0,NA
Eugenia florida,9.18e-4,0.977289095,1,0
Heisteria concinna,8.89e-4,0.9781779,0,NA
Inga spectabilis,8.49e-4,0.979027234,0,NA
Genipa americana,8.11e-4,0.97983818600000006,3,0
Inga thibaudiana,7.93e-4,0.980630761,2,0.21052631578947367
Trichilia pallida,7.78e-4,0.981408843,0,NA
Myrospermum frutescens,7.71e-4,0.982180071,0,NA
Croton billbergianus,7.48e-4,0.982928075,3,0
Moquilea platypus,7.46e-4,0.983673697,0,0
Tocoyena pittieri,6.59e-4,0.984333162,1,0
Astrocaryum standleyanum,6.57e-4,0.9849903,0,NA
Ficus maxima,6.33e-4,0.985623628,1,0
Cassipourea elliptica,6e-4,0.98622366400000006,2,0.13333333333333333
Hampea appendiculata,5.65e-4,0.986789157,0,NA
Cupania seemannii,5.58e-4,0.987347012,0,NA
Vochysia ferruginea,5.55e-4,0.98790171,1,0
Ardisia copeyana,5.34e-4,0.988435999,0,NA
Annona spraguei,5.33e-4,0.988969282,1,0
Lindackeria laurina,5.27e-4,0.989495874,1,0
Inga sapindoides,5.11e-4,0.990006406,1,0
Inga goldmanii,4.93e-4,0.990499876,0,0
Xylopia macrantha,4.9e-4,0.990990152,0,NA
Posoqueria latifolia,4.82e-4,0.991472427,0,NA
Lafoensia punicifolia,4.69e-4,0.991941691,1,0
Casearia guianensis,4.18e-4,0.992359796,0,NA
Coccoloba manzinellensis,4.18e-4,0.992777901,1,0
Damburneya purpurea,4.12e-4,0.993189775,0,NA
Socratea exorrhiza,3.87e-4,0.993577265,1,0
Margaritaria nobilis,3.82e-4,0.993958912,1,NA
Maclura tinctoria,3.79e-4,0.994338239,0,NA
Inga acuminata,3.57e-4,0.99469502,0,NA
Mouriri myrtilloides,3.53e-4,0.995048128,0,NA
Robrichia schomburgkii,3.48e-4,0.995396293,0,NA
Cecropia peltata,3.4e-4,0.995736049,0,NA
Siparuna pauciflora,3.25e-4,0.996060683,0,NA
Inga pezizifera,3.12e-4,0.996372657,1,0
Protium panamense,3.06e-4,0.996678427,7,0.24489795918367344
Trichospermum mexicanum,2.93e-4,0.996971641,1,0
Inga punctata,2.81e-4,0.997252436,0,NA
Trophis racemosa,2.67e-4,0.997519046,0,NA
Faramea occidentalis,2.43e-4,0.997762344,1,NA
Erythroxylum macrophyllum,2.34e-4,0.997996771,0,NA
Guettarda foliacea,2.31e-4,0.99822816,0,NA
Coussarea suaveolens,2.21e-4,0.998449283,0,NA
Protium costaricense,2.06e-4,0.99865568,0,NA
Zanthoxylum acuminatum,1.81e-4,0.998836489,0,NA
Eugenia nesiotica,1.79e-4,0.999015061,0,NA
Maquira guianensis,1.67e-4,0.999182269,0,NA
Solanum hayesii,1.58e-4,0.999339988,0,NA
Adelia triloba,1.39e-4,0.999478785,0,NA
Cupania cinerea,1.38e-4,0.999617111,0,NA
Siparuna cristata,1.29e-4,0.999746114,0,NA
Spachea membranacea,1.11e-4,0.999857289,0,NA
Garcinia intermedia,9.03e-5,0.999947639,0,NA
Inga nobilis,5.24e-5,1,0,NA
