wcvp_accepted_name,rel_abun
Damburneya purpurea,4.337624992483411e-4
Astrocaryum standleyanum,4.1697269373822777e-4
Hampea appendiculata,4.131722840723642e-4
Ardisia copeyana,4.068587564963088e-4
Cupania rufescens,4.013505490658498e-4
Zanthoxylum acuminatum,3.595317162226114e-4
Terminalia tetraphylla,3.5677939714796745e-4
Mouriri myrtilloides,3.551232181941543e-4
Unonopsis pittieri,3.460391292173324e-4
Alchornea latifolia,3.4600893692733034e-4
Garcinia madruno,3.442648147072294e-4
Inga goldmanii,3.438130882335474e-4
Coutarea hexandra,3.3764273964472213e-4
Casearia guianensis,3.183850328203363e-4
Pseudolmedia spuria,3.119339809810686e-4
Ficus tonduzii,3.0850914505581057e-4
Inga punctata,3.0533204856634676e-4
Guettarda foliacea,3.0441064587878353e-4
Guarea bullata,2.9425705133712327e-4
Coccoloba manzinellensis,2.904855701467234e-4
Allophylus psilospermus,2.8370834859597026e-4
Trichospermum mexicanum,2.7043684214383463e-4
Inga pezizifera,2.6325479066853887e-4
Ormosia amazonica,2.5849300954873864e-4
Andira inermis,2.5299461881360467e-4
Erythroxylum macrophyllum,2.5081615223612833e-4
Siparuna pauciflora,2.4720748744485785e-4
Randia armata,2.4519554849000534e-4
Myrcia splendens,2.4351322631144834e-4
Socratea exorrhiza,2.210195887400794e-4
Diospyros artanthifolia,2.0420461888701524e-4
Tabernaemontana africana,2.0339839919049038e-4
Perebea xanthochyma,2.0167162502723158e-4
Maquira guianensis,2.012688900293558e-4
Garcinia intermedia,2.009443288745868e-4
Amaioua glomerulata,1.8179350416033663e-4
Cedrela odorata,1.8041585317507092e-4
Protium costaricense,1.7903514580705208e-4
Croton billbergianus,1.7209187682400417e-4
Cupania cinerea,1.712979146684458e-4
Faramea occidentalis,1.6834504536539322e-4
Miconia hondurensis,1.5407668885067315e-4
Couratari guianensis,1.2944453814735986e-4
Piparea dentata,1.1706369409330727e-4
Inga pauciflora,1.1157246800254986e-4
Crateva tapia,1.107957840932059e-4
Psidium friedrichsthalianum,9.134219785379888e-5
Vismia macrophylla,6.885798057484434e-5
Brosimum guianense,5.277801732958098e-5
Inga nobilis,4.861525213883278e-5
Jacaratia spinosa,4.553869777725288e-5
Heisteria acuminata,4.338587593457466e-5
