wcvp_accepted_name,rel_abun
Casearia guianensis,3.5735810141540147e-4
Pseudolmedia spuria,3.501173853019843e-4
Ficus tonduzii,3.462733199793531e-4
Guettarda foliacea,3.416731292242134e-4
Guarea bullata,3.302766473110795e-4
Coccoloba manzinellensis,3.2604350435901824e-4
Allophylus psilospermus,3.184366925538435e-4
Trichospermum mexicanum,3.0152013503483867e-4
Astrocaryum standleyanum,2.977471841283751e-4
Inga thibaudiana,2.9596877997622024e-4
Ormosia amazonica,2.9013477895996814e-4
Andira inermis,2.839633378700966e-4
Maquira guianensis,2.775634255087121e-4
Siparuna pauciflora,2.774678118076517e-4
Randia armata,2.752095942064635e-4
Myrcia splendens,2.7332134131224716e-4
Diospyros artanthifolia,2.292010219805103e-4
Tabernaemontana africana,2.2829611405339554e-4
Perebea xanthochyma,2.2635796786891845e-4
Inga punctata,2.0850053659721477e-4
Inga goldmanii,2.043334515535087e-4
Amaioua glomerulata,2.0404659390207752e-4
Cedrela odorata,2.0250030657774395e-4
Protium costaricense,2.0095058874309966e-4
Croton billbergianus,1.93157403870623e-4
Faramea occidentalis,1.926837813435069e-4
Cupania cinerea,1.922662539129988e-4
Pourouma bicolor,1.780080386588116e-4
Miconia hondurensis,1.729370018191735e-4
Couratari guianensis,1.4528966384244987e-4
Piparea dentata,1.3139329790500619e-4
Inga pauciflora,1.2522989847365442e-4
Crateva tapia,1.2435814176830806e-4
Psidium friedrichsthalianum,1.0252326912164627e-4
Vismia macrophylla,7.72867901092907e-5
Brosimum guianense,5.9238500950549466e-5
Jacaratia spinosa,5.111302637078422e-5
Heisteria acuminata,4.869668060361613e-5
