class_index,class_name,train,val,test,support,precision,recall,f1,accuracy
29,Cordia bicolor-CORDBI-CORB,16.0,0.0,16.0,48,0.5,0.020833333333333332,0.039999999999999994,0.020833333333333332
83,Pouteria stipitata-POUTST-POU2,128.0,16.0,32.0,96,0.03333333333333333,0.041666666666666664,0.037037037037037035,0.041666666666666664
115,Virola sebifera-VIROSE-VIR1,16.0,16.0,16.0,48,0.16666666666666666,0.020833333333333332,0.037037037037037035,0.020833333333333332
1,Aiouea montana-PHOECI-PHOM,16.0,16.0,16.0,48,0.1,0.020833333333333332,0.034482758620689655,0.020833333333333332
75,Ocotea leptobotra-OCOTCE-OCOC,96.0,16.0,32.0,96,0.029411764705882353,0.03125,0.030303030303030304,0.03125
79,Platypodium elegans-PLA2EL-PLAE,144.0,32.0,32.0,96,0.022727272727272728,0.020833333333333332,0.021739130434782608,0.020833333333333332
8,Apeiba tibourbou-APEITI-APET,96.0,16.0,16.0,48,0.021739130434782608,0.020833333333333332,0.02127659574468085,0.020833333333333332
114,Virola nobilis-VIROSU-VIR2,160.0,32.0,32.0,96,0.1,0.010416666666666666,0.018867924528301886,0.010416666666666666
0,Abarema macradenia-PIT1MA-PITM,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
4,Anacardium occidentale-ANACOC-ANAO,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
5,Andira inermis-ANDIIN-ANDI,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
6,Annona spraguei-ANNOSP-ANNS,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
10,Aspidosperma desmanthum-ASPICR-ASPC,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
12,Attalea butyracea-SCH1ZO-ATTB,32.0,16.0,16.0,48,0.0,0.0,0.0,0.0
13,Beilschmiedia tovarensis-BEILPE-BEIP,64.0,16.0,16.0,48,0.0,0.0,0.0,0.0
16,Casearia arborea-CASEAR-CAS2,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
18,Cavanillesia platanifolia-CAVAPL-CAVP,16.0,16.0,16.0,48,0.0,0.0,0.0,0.0
20,Cecropia obtusifolia-CECROB-CECO,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
23,Chrysophyllum argenteum-CHR2AR-CHRA,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
26,Coccoloba manzinellensis-COCCMA-COCM,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
27,Cordia,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
28,Cordia alliodora-CORDAL-CORA,96.0,16.0,16.0,48,0.0,0.0,0.0,0.0
30,Cosmibuena macrocarpa-COSMMA,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
31,Croton billbergianus-CROTBI-CROB,16.0,16.0,16.0,48,0.0,0.0,0.0,0.0
32,Cupania americana-CUPALA-CUPL,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
33,Dendropanax arboreus-DENDAR-DENA,32.0,16.0,16.0,48,0.0,0.0,0.0,0.0
34,Didymopanax morototoni-SCH2MO-SCHM,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
37,Eugenia coloradoensis-EUGECO-EUGC,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
39,Ficus matiziana-FICUBU-FIBU,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
40,Ficus maxima-FICUMA-FIMA,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
42,Ficus obtusifolia-FICUOB-FIOB,48.0,16.0,16.0,48,0.0,0.0,0.0,0.0
44,Genipa americana-GENIAM-GENA,64.0,16.0,16.0,48,0.0,0.0,0.0,0.0
45,Guapira myrtiflora-GUAPST-GUAS,128.0,32.0,32.0,96,0.0,0.0,0.0,0.0
46,Guapira standleyana-GUAPST-GUAS,16.0,0.0,16.0,48,0.0,0.0,0.0,0.0
49,Guazuma ulmifolia-GUAZUL-GUAU,96.0,16.0,32.0,96,0.0,0.0,0.0,0.0
55,Inga goldmanii-INGAGO-INGO,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
56,Inga laurina-INGAFA-INFA,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
58,Inga pezizifera-INGAPE-INPE,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
59,Inga sapindoides-INGASA-INSA,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
62,Jupunba macradenia-PIT1MA-PITM,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
63,Lafoensia punicifolia-LAFOPU-LAFP,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
64,Lindackeria laurina-LINDLA-LINL,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
65,Lonchocarpus heptaphyllus-LONCLA-LONL,96.0,16.0,16.0,48,0.0,0.0,0.0,0.0
67,Macrocnemum roseum-MACRGL-MACG,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
68,Mangifera indica-MANGIN-MANI,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
70,Miconia elata-MICOEL-MICE,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
71,Moquilea platypus-LICAPL-LICP,0.0,0.0,16.0,48,0.0,0.0,0.0,0.0
78,Pachira sessilis-POCHSE-BOMS,16.0,16.0,16.0,48,0.0,0.0,0.0,0.0
81,Pourouma bicolor-POURBI-POUB,48.0,16.0,16.0,48,0.0,0.0,0.0,0.0
82,Pouteria reticulata-POUTRE-POUU,16.0,16.0,16.0,48,0.0,0.0,0.0,0.0
89,Quararibea asterolepis-QUARAS,48.0,16.0,16.0,48,0.0,0.0,0.0,0.0
