col,row,name,date,p5,tag,dbh,code,comments
22,27,AAV,10-11-05,33,38311,12,,
22,27,AAV,10-11-05,33,38311,12,,
22,28,AAV,14-11-05,23,38315,295,,
22,28,AAV,14-11-05,23,38315,23,,
23,25,RNR,17-11-05,31,29307,610,,
23,25,RNR,17-11-05,31,29307,450,,
23,26,AAV,18-11-05,11,29311,357,,
23,26,AAV,18-11-05,11,29311,15,,
23,26,AAV,18-11-05,11,29311,12,,
23,26,AAV,18-11-05,22,29314,570,,
23,26,AAV,18-11-05,22,29314,33,,
23,26,AAV,18-11-05,22,29314,24,,
23,28,AAV,18-11-05,12,29325,396,,
23,28,AAV,18-11-05,12,29325,43,,
23,29,AAV,18-11-05,12,29331,242,,
23,29,AAV,18-11-05,12,29331,24,,
23,29,AAV,18-11-05,21,29334,459,,
23,29,AAV,18-11-05,21,29334,17,,
24,27,FAG,17-11-05,44,39254,224,,
24,27,FAG,17-11-05,44,39254,105,,
24,29,FAG,17-11-05,21,39272,406,,
24,29,FAG,17-11-05,21,39272,13,,
25,28,FAG,17-11-05,43,39298,257,,
25,28,FAG,17-11-05,43,39298,28,,
25,28,FAG,17-11-05,43,39298,21,,
25,28,FAG,17-11-05,43,39298,14,,
25,28,FAG,17-11-05,43,39298,11,,
25,28,FAG,17-11-05,43,39298,15,,
26,27,OL,17-11-05,14,39934,382,,
26,27,OL,17-11-05,14,39934,15,,
26,27,OL,17-11-05,14,39934,10,,
26,27,OL,17-11-05,14,39934,10,,
26,28,OL,17-11-05,13,39938,237,,
26,28,OL,17-11-05,13,39938,30,,
27,26,OL,17-11-05,24,39897,226,,
27,26,OL,17-11-05,24,39897,39,,
27,26,OL,17-11-05,24,39897,22,,
27,26,OL,17-11-05,24,39897,18,,
27,26,OL,17-11-05,24,39897,13,,
27,27,OL,17-11-05,11,39900,243,,
27,27,OL,17-11-05,11,39900,32,,
27,27,OL,17-11-05,23,39902,278,,
27,27,OL,17-11-05,23,39902,13,,
27,29,OL,17-11-05,24,39914,408,,
27,29,OL,17-11-05,24,39914,20,,
27,29,OL,17-11-05,43,39919,398,,
27,29,OL,17-11-05,43,39919,22,,
27,29,OL,17-11-05,43,39919,14,,
27,29,OL,17-11-05,43,39919,11,,
27,29,OL,17-11-05,43,39919,39,,
27,29,OL,17-11-05,43,39919,25,,
27,29,OL,17-11-05,43,39919,39,,
27,29,OL,17-11-05,43,39919,16,,
27,29,OL,17-11-05,43,39919,12,,
28,25,AAV,17-11-05,22,38499,221,,
28,25,AAV,17-11-05,22,38499,54,,
28,27,AAV,17-11-05,13,22418,285,,
28,27,AAV,17-11-05,13,22418,135,,
28,27,AAV,17-11-05,31,22421,290,,Medido a 1.00
28,27,AAV,17-11-05,31,22421,162,,
28,27,AAV,17-11-05,31,22421,63,,
28,27,AAV,17-11-05,31,22421,45,,
28,27,AAV,17-11-05,31,22421,40,,
28,29,AAV,17-11-05,44,22435,218,,
28,29,AAV,17-11-05,44,22435,24,,
28,29,AAV,17-11-05,44,22435,13,,
28,29,AAV,17-11-05,44,22435,12,,
29,25,AAV,17-11-05,32,22444,616,,
29,25,AAV,17-11-05,32,22444,247,,
29,26,AAV,17-11-05,42,22454,527,,
29,26,AAV,17-11-05,42,22454,187,,
29,28,AAV,17-11-05,44,22462,1088,,Medido a 1.70
29,28,AAV,17-11-05,44,22462,22,,
29,28,AAV,17-11-05,44,22462,22,,
29,28,AAV,17-11-05,44,22462,19,,
29,28,AAV,17-11-05,44,22462,14,,
