col,row,name,date,p5,tag,dbh,comments,,,,
40,38,BC,11/15/04,13,20275,61,,,,,
40,38,BC,11/15/04,13,20275,111,,,,,
40,38,BC,11/15/04,14,20276,108,,,,,
40,38,BC,11/15/04,14,20276,108,,,,,
40,38,BC,11/15/04,14,20276,106,,,,,
40,38,BC,11/15/04,14,20276,101,,,,,
40,38,BC,11/15/04,14,20276,105,,,,,
40,38,BC,11/15/04,14,20276,71,,,,,
40,38,BC,11/15/04,14,20276,67,,,,,
40,38,BC,11/15/04,14,20276,91,,,,,
40,38,BC,11/15/04,14,20276,85,,,,,
40,38,BC,11/15/04,14,20276,103,,,,,
40,38,BC,11/15/04,24,20278,73,,,,,
40,38,BC,11/15/04,24,20278,163,,,,,
40,38,BC,11/15/04,24,20278,109,,,,,
40,38,BC,11/15/04,24,20278,97,,,,,
40,38,BC,11/15/04,24,20278,95,,,,,
40,38,BC,11/15/04,23,20279,190,,,,,
40,38,BC,11/15/04,23,20279,126,,,,,
40,38,BC,11/15/04,42,20287,160,,,,,
40,38,BC,11/15/04,42,20287,137,,,,,
40,39,EV,11/15/04,12,20255,101,,,,,
40,39,EV,11/15/04,12,20255,58,,,,,
40,39,EV,11/15/04,22,20269,97,,,,,
40,39,EV,11/15/04,22,20269,98,,,,,
40,39,EV,11/15/04,42,20263,93,,,,,
40,39,EV,11/15/04,42,20263,39,,,,,
40,40,BC,11/15/04,21,20249,101,,,,,
40,40,BC,11/15/04,21,20249,97,,,,,
40,40,BC,11/15/04,21,20249,81,,,,,
40,40,BC,11/15/04,21,20249,103,,,,,
40,40,BC,11/15/04,31,20250,229,,,,,
40,40,BC,11/15/04,31,20250,69,,,,,
40,40,BC,11/15/04,31,20250,24,,,,,
40,40,BC,11/15/04,31,20250,15,,,,,
40,40,BC,11/15/04,31,20250,13,,,,,
40,40,BC,11/15/04,42,20252,139,,,,,
40,40,BC,11/15/04,42,20252,176,,,,,
40,41,BC,11/15/04,24,20233,94,,,,,
40,41,BC,11/15/04,24,20233,80,,,,,
40,41,BC,11/15/04,32,20237,329,,,,,
40,41,BC,11/15/04,32,20237,17,,,,,
40,41,BC,11/15/04,32,20237,16,,,,,
40,41,BC,11/15/04,32,20237,13,,,,,
40,41,BC,11/15/04,33,20238,230,,,,,
40,41,BC,11/15/04,33,20238,10,,,,,
40,41,BC,11/15/04,43,20240,104,,,,,
40,41,BC,11/15/04,43,20240,82,,,,,
40,42,BC,11/15/04,14,20222,69,,,,,
40,42,BC,11/15/04,14,20222,92,,,,,
40,42,BC,11/15/04,14,20222,72,,,,,
40,42,BC,11/15/04,14,20222,75,,,,,
40,42,BC,11/15/04,31,20225,107,,,,,
40,42,BC,11/15/04,31,20225,94,,,,,
40,40,BC,11/15/04,21,20225,97,,,,,
40,40,BC,11/15/04,21,20225,104,,,,,
40,40,BC,11/15/04,44,20226,100,,,,,
40,40,BC,11/15/04,44,20226,89,,,,,
40,40,BC,11/15/04,44,20226,71,,,,,
40,40,BC,11/15/04,44,20227,102,,,,,
40,40,BC,11/15/04,44,20227,96,,,,,
40,40,BC,11/15/04,44,20227,82,,,,,
40,40,BC,11/15/04,44,20227,79,,,,,
40,40,BC,11/15/04,44,20227,73,,,,,
40,43,BC,11/15/04,12,20206,310,,,,,
40,43,BC,11/15/04,12,20206,112,,,,,
40,43,BC,11/15/04,22,20208,99,,,,,
40,43,BC,11/15/04,22,20208,72,,,,,
40,43,BC,11/15/04,33,20213,117,,,,,
40,43,BC,11/15/04,33,20213,80,,,,,
40,43,BC,11/15/04,33,20213,50,,,,,
40,43,BC,11/15/04,42,20215,111,,,,,
40,43,BC,11/15/04,42,20215,90,,,,,
40,43,BC,11/15/04,42,20215,68,,,,,
40,43,BC,11/15/04,42,20215,90,,,,,
40,43,BC,11/15/04,42,20215,104,,,,,
40,43,BC,11/15/04,42,20215,95,,,,,
40,43,BC,11/15/04,42,20215,85,,,,,
40,43,BC,11/15/04,42,20215,87,,,,,
40,43,BC,11/15/04,42,20215,95,,,,,
40,43,BC,11/15/04,42,20215,98,,,,,
40,43,BC,11/15/04,42,20215,84,,,,,
40,43,BC,11/15/04,42,20215,90,,,,,
40,43,BC,11/15/04,42,20215,70,,,,,
40,43,BC,11/15/04,31,20217,101,,,,,
40,43,BC,11/15/04,31,20217,77,,,,,
40,43,BC,11/12/04,23,20198,84,,,,,
40,43,BC,11/12/04,23,20198,70,,,,,
40,43,BC,11/12/04,23,20198,45,,,,,
41,34,BC,11/17/04,33,22046,63,,,,,
41,34,BC,11/17/04,33,22046,62,,,,,
41,34,BC,11/17/04,31,20049,78,,,,,
41,34,BC,11/17/04,31,20049,52,,,,,
41,34,BC,11/17/04,31,20049,63,,,,,
41,35,BC,11/18/04,31,22063,91,,,,,
41,35,BC,11/18/04,31,22063,60,,,,,
